Week,Team,Player,Score,Position
1,Paco,Josh Allen BUF,45,QB
1,Julio,Baker Mayfield TBB,29,QB
1,Kenny,Patrick Mahomes II KCC,31,QB
1,Doy,Joe Burrow CIN,9,QB
1,Chuy,Jordan Love GBP,17,QB
1,Jay,Justin Herbert LAC,38,QB
2,Kenny,Patrick Mahomes II KCC,23,QB
2,Monaf,Trevor Lawrence JAC,25,QB
2,Chuy,Jordan Love GBP,24,QB
2,Doy,Joe Burrow CIN,9,QB
2,Jay,Justin Herbert LAC,31,QB
2,Elaf,Drake Maye NEP,31,QB
3,Elaf,Drake Maye NEP,24,QB
3,Kenny,Patrick Mahomes II KCC,15,QB
3,ATL,Lamar Jackson BAL,35,QB
3,Julio,Baker Mayfield TBB,19,QB
3,Larry,Bo Nix DEN,17,QB
3,Doy,Matthew Stafford LAR,17,QB
4,Doy,Matthew Stafford LAR,43,QB
4,Larry,Bo Nix DEN,32,QB
4,ATL,Lamar Jackson BAL,11,QB
4,Monaf,Brock Purdy SFO,26,QB
4,Kenny,Patrick Mahomes II KCC,36,QB
4,Paco,Josh Allen BUF,34,QB
5,Paco,Josh Allen BUF,24,QB
5,Doy,Matthew Stafford LAR,35,QB
5,Kenny,Patrick Mahomes II KCC,28,QB
5,Gaybo,Jalen Hurts PHI,27,QB
5,Monaf,Geno Smith LVR,5,QB
5,Greg,Justin Fields NYJ,29,QB
6,Kenny,Patrick Mahomes II KCC,37,QB
6,Paco,Josh Allen BUF,17,QB
6,Gaybo,Jalen Hurts PHI,21,QB
6,Doy,Matthew Stafford LAR,9,QB
6,Greg,Jayden Daniels WAS,34,QB
6,Chuy,Jordan Love GBP,16,QB
7,Chuy,Jordan Love GBP,11,QB
7,Kenny,Patrick Mahomes II KCC,31,QB
7,Julio,Baker Mayfield TBB,14,QB
7,Gaybo,Jalen Hurts PHI,44,QB
7,Elaf,Drake Maye NEP,30,QB
7,Greg,Jayden Daniels WAS,18,QB
8,Elaf,Drake Maye NEP,34,QB
8,Kenny,Patrick Mahomes II KCC,30,QB
8,Greg,Spencer Rattler NOS,1,QB
8,Larry,Bo Nix DEN,34,QB
8,Gaybo,Jalen Hurts PHI,34,QB
8,Julio,Baker Mayfield TBB,3,QB
9,Julio,Joe Flacco CLE,47,QB
9,Gaybo,Jacoby Brissett ARI,30,QB
9,Larry,Bo Nix DEN,22,QB
9,Chuy,Jordan Love GBP,7,QB
9,Doy,Matthew Stafford LAR,38,QB
9,Kenny,Patrick Mahomes II KCC,9,QB
10,Kenny,Sam Darnold SEA,10,QB
10,Doy,Doy Dahmer NAPA,0,QB
10,Elaf,Drake Maye NEP,27,QB
10,Chuy,Jordan Love GBP,5,QB
10,Larry,Bo Nix DEN,5,QB
10,Paco,Josh Allen BUF,30,QB
11,Elaf,Drake Maye NEP,17,QB
11,Chuy,Jordan Love GBP,18,QB
11,Paco,Dak Prescott DAL,38,QB
11,Kenny,Patrick Mahomes II KCC,16,QB
11,Monaf,Brock Purdy SFO,36,QB
11,Jay,Justin Herbert LAC,2,QB
12,Jay,Justin Herbert LAC,21,QB
12,Larry,Shedeur Sanders CLE,18,QB
12,Paco,Josh Allen BUF,8,QB
12,Kenny,Patrick Mahomes II KCC,17,QB
12,Julio,Baker Mayfield TBB,7,QB
12,Greg,Dak Prescott DAL,31,QB
13,Greg,Dak Prescott DAL,25,QB
13,Doy,Matthew Stafford LAR,17,QB
13,Monaf,Trevor Lawrence JAC,28,QB
13,Chuy,Jordan Love GBP,40,QB
13,Kenny,Patrick Mahomes II KCC,40,QB
13,Jay,Justin Herbert LAC,7,QB
14,Jay,Jared Goff DET,20,QB
14,Chuy,Jordan Love GBP,34,QB
14,Kenny,Patrick Mahomes II KCC,3,QB
14,Gaybo,Jalen Hurts PHI,2,QB
14,Monaf,Trevor Lawrence JAC,30,QB
14,Greg,Dak Prescott DAL,23,QB
1,Elaf,Drake Maye NEP,15,QB
1,ATL,Lamar Jackson BAL,39,QB
1,Gaybo,Jalen Hurts PHI,21,QB
1,Larry,Bo Nix DEN,7,QB
1,Greg,Jayden Daniels WAS,21,QB
1,Monaf,Trevor Lawrence JAC,7,QB
2,Larry,Bo Nix DEN,28,QB
2,Julio,Baker Mayfield TBB,27,QB
2,ATL,Lamar Jackson BAL,39,QB
2,Paco,Josh Allen BUF,8,QB
2,Gaybo,Jalen Hurts PHI,10,QB
2,Greg,Jayden Daniels WAS,27,QB
3,Chuy,Jordan Love GBP,7,QB
3,Paco,Josh Allen BUF,32,QB
3,Monaf,Trevor Lawrence JAC,6,QB
3,Gaybo,Jalen Hurts PHI,40,QB
3,Jay,Justin Herbert LAC,18,QB
3,Greg,Spencer Rattler NOS,14,QB
4,Chuy,Jordan Love GBP,35,QB
4,Julio,Baker Mayfield TBB,35,QB
4,Elaf,Drake Maye NEP,31,QB
4,Gaybo,Jalen Hurts PHI,21,QB
4,Greg,Justin Fields NYJ,40,QB
4,Jay,Justin Herbert LAC,16,QB
5,Julio,Baker Mayfield TBB,34,QB
5,Elaf,Drake Maye NEP,11,QB
5,Chuy,C.J. Stroud HOU,38,QB
5,ATL,Carson Wentz FA,17,QB
5,Larry,Bo Nix DEN,20,QB
5,Jay,Jared Goff DET,32,QB
6,Elaf,Drake Maye NEP,42,QB
6,Monaf,Trevor Lawrence JAC,28,QB
6,Larry,Bo Nix DEN,12,QB
6,ATL,Caleb Williams CHI,27,QB
6,Julio,Baker Mayfield TBB,30,QB
6,Jay,Justin Herbert LAC,22,QB
7,Paco,Dak Prescott DAL,35,QB
7,Monaf,Trevor Lawrence JAC,21,QB
7,Jay,Jared Goff DET,14,QB
7,Doy,Matthew Stafford LAR,35,QB
7,Larry,Bo Nix DEN,44,QB
7,ATL,Caleb Williams CHI,0,QB
8,Jay,Jared Goff DET,32,QB
8,Doy,Jaxson Dart NYG,17,QB
8,Monaf,Mac Jones SFO,17,QB
8,ATL,Caleb Williams CHI,10,QB
8,Paco,Josh Allen BUF,26,QB
8,Chuy,Jordan Love GBP,38,QB
9,Elaf,Drake Maye NEP,23,QB
9,Greg,Jayden Daniels WAS,11,QB
9,Paco,Josh Allen BUF,31,QB
9,Monaf,Trevor Lawrence JAC,20,QB
9,Jay,Justin Herbert LAC,31,QB
9,ATL,Lamar Jackson BAL,36,QB
10,Jay,Justin Herbert LAC,18,QB
10,Julio,Baker Mayfield TBB,32,QB
10,Monaf,Trevor Lawrence JAC,9,QB
10,Gaybo,Jalen Hurts PHI,14,QB
10,Greg,Justin Fields NYJ,12,QB
10,ATL,Lamar Jackson BAL,14,QB
11,Gaybo,Jalen Hurts PHI,12,QB
11,Larry,Bo Nix DEN,11,QB
11,Greg,Justin Fields NYJ,23,QB
11,Julio,Baker Mayfield TBB,17,QB
11,Doy,Matthew Stafford LAR,15,QB
11,ATL,Lamar Jackson BAL,0,QB
12,Monaf,Brock Purdy SFO,15,QB
12,Doy,Matthew Stafford LAR,31,QB
12,Elaf,Drake Maye NEP,18,QB
12,Gaybo,Jalen Hurts PHI,33,QB
12,ATL,Lamar Jackson BAL,4,QB
12,Chuy,Jordan Love GBP,4,QB
13,Elaf,Drake Maye NEP,27,QB
13,Paco,Josh Allen BUF,15,QB
13,Julio,Baker Mayfield TBB,19,QB
13,ATL,Lamar Jackson BAL,8,QB
13,Larry,Bo Nix DEN,18,QB
13,Gaybo,Jalen Hurts PHI,24,QB
14,Larry,Bo Nix DEN,16,QB
14,Elaf,Daniel Jones IND,0,QB
14,Paco,Josh Allen BUF,50,QB
14,Julio,Baker Mayfield TBB,12,QB
14,ATL,Lamar Jackson BAL,29,QB
14,Doy,Matthew Stafford LAR,32,QB
1,Paco,Bijan Robinson ATL,23,RB1
1,Julio,Jonathan Taylor IND,9,RB1
1,Kenny,Christian McCaffrey SFO,13,RB1
1,Doy,Saquon Barkley PHI,15,RB1
1,Chuy,Josh Jacobs GBP,12,RB1
1,Jay,Chase Brown CIN,10,RB1
2,Kenny,Christian McCaffrey SFO,16,RB1
2,Monaf,Omarion Hampton LAC,2,RB1
2,Chuy,Josh Jacobs GBP,14,RB1
2,Doy,Saquon Barkley PHI,15,RB1
2,Jay,Chase Brown CIN,5,RB1
2,Elaf,De'Von Achane MIA,20,RB1
3,Elaf,De'Von Achane MIA,8,RB1
3,Kenny,Christian McCaffrey SFO,13,RB1
3,ATL,Jahmyr Gibbs DET,21,RB1
3,Julio,Jonathan Taylor IND,33,RB1
3,Larry,Bucky Irving TBB,9,RB1
3,Doy,Saquon Barkley PHI,4,RB1
4,Doy,Saquon Barkley PHI,13,RB1
4,Larry,Bucky Irving TBB,29,RB1
4,ATL,Jahmyr Gibbs DET,15,RB1
4,Monaf,Ashton Jeanty LVR,38,RB1
4,Kenny,Christian McCaffrey SFO,19,RB1
4,Paco,Bijan Robinson ATL,24,RB1
5,Paco,Chris Rodriguez Jr. WAS,0,RB1
5,Doy,Saquon Barkley PHI,18,RB1
5,Kenny,Christian McCaffrey SFO,19,RB1
5,Gaybo,Derrick Henry BAL,9,RB1
5,Monaf,Omarion Hampton LAC,10,RB1
5,Greg,Quinshon Judkins CLE,12,RB1
6,Kenny,Christian McCaffrey SFO,16,RB1
6,Paco,Bijan Robinson ATL,37,RB1
6,Gaybo,Derrick Henry BAL,12,RB1
6,Doy,Saquon Barkley PHI,5,RB1
6,Greg,Quinshon Judkins CLE,3,RB1
6,Chuy,Josh Jacobs GBP,27,RB1
7,Chuy,Josh Jacobs GBP,17,RB1
7,Kenny,Christian McCaffrey SFO,31,RB1
7,Julio,Jonathan Taylor IND,33,RB1
7,Gaybo,Jacory Croskey-Merritt WAS,3,RB1
7,Elaf,De'Von Achane MIA,9,RB1
7,Greg,Quinshon Judkins CLE,30,RB1
8,Elaf,De'Von Achane MIA,14,RB1
8,Kenny,Christian McCaffrey SFO,6,RB1
8,Greg,Quinshon Judkins CLE,1,RB1
8,Larry,Javonte Williams DAL,16,RB1
8,Gaybo,Derrick Henry BAL,19,RB1
8,Julio,Jonathan Taylor IND,45,RB1
9,Julio,Jonathan Taylor IND,5,RB1
9,Gaybo,Derrick Henry BAL,11,RB1
9,Larry,Javonte Williams DAL,8,RB1
9,Chuy,James Cook BUF,15,RB1
9,Doy,Kenneth Walker III SEA,5,RB1
9,Kenny,Christian McCaffrey SFO,28,RB1
10,Kenny,Christian McCaffrey SFO,9,RB1
10,Doy,Doy Dahmer NAPA,0,RB1
10,Elaf,De'Von Achane MIA,42,RB1
10,Chuy,James Cook BUF,7,RB1
10,Larry,Rachaad White TBB,4,RB1
10,Paco,Bijan Robinson ATL,8,RB1
11,Elaf,De'Von Achane MIA,16,RB1
11,Chuy,Josh Jacobs GBP,4,RB1
11,Paco,Bijan Robinson ATL,25,RB1
11,Kenny,Christian McCaffrey SFO,30,RB1
11,Monaf,Ashton Jeanty LVR,2,RB1
11,Jay,RJ Harvey DEN,5,RB1
12,Jay,Chase Brown CIN,12,RB1
12,Larry,David Montgomery DET,2,RB1
12,Paco,Bijan Robinson ATL,12,RB1
12,Kenny,Christian McCaffrey SFO,20,RB1
12,Julio,Jonathan Taylor IND,5,RB1
12,Greg,Quinshon Judkins CLE,16,RB1
13,Greg,Quinshon Judkins CLE,13,RB1
13,Doy,Kenneth Walker III SEA,6,RB1
13,Monaf,Travis Etienne Jr. JAC,3,RB1
13,Chuy,TreVeyon Henderson NEP,10,RB1
13,Kenny,Christian McCaffrey SFO,13,RB1
13,Jay,Chase Brown CIN,11,RB1
14,Jay,Chase Brown CIN,16,RB1
14,Chuy,James Cook BUF,11,RB1
14,Kenny,Bucky Irving TBB,15,RB1
14,Gaybo,Derrick Henry BAL,9,RB1
14,Monaf,Travis Etienne Jr. JAC,24,RB1
14,Greg,Quinshon Judkins CLE,7,RB1
1,Elaf,De'Von Achane MIA,14,RB1
1,ATL,Jahmyr Gibbs DET,4,RB1
1,Gaybo,Derrick Henry BAL,36,RB1
1,Larry,Bucky Irving TBB,9,RB1
1,Greg,James Conner ARI,9,RB1
1,Monaf,Ashton Jeanty LVR,9,RB1
2,Larry,Bucky Irving TBB,12,RB1
2,Julio,Jonathan Taylor IND,27,RB1
2,ATL,Jahmyr Gibbs DET,16,RB1
2,Paco,Bijan Robinson ATL,16,RB1
2,Gaybo,Derrick Henry BAL,2,RB1
2,Greg,James Conner ARI,10,RB1
3,Chuy,Josh Jacobs GBP,7,RB1
3,Paco,Bijan Robinson ATL,10,RB1
3,Monaf,Ashton Jeanty LVR,6,RB1
3,Gaybo,Derrick Henry BAL,13,RB1
3,Jay,Chase Brown CIN,1,RB1
3,Greg,James Conner ARI,3,RB1
4,Chuy,James Cook BUF,18,RB1
4,Julio,Jonathan Taylor IND,9,RB1
4,Elaf,De'Von Achane MIA,15,RB1
4,Gaybo,Derrick Henry BAL,5,RB1
4,Greg,Quinshon Judkins CLE,17,RB1
4,Jay,Chase Brown CIN,7,RB1
5,Julio,Jonathan Taylor IND,29,RB1
5,Elaf,De'Von Achane MIA,11,RB1
5,Chuy,James Cook BUF,4,RB1
5,ATL,Jahmyr Gibbs DET,16,RB1
5,Larry,Javonte Williams DAL,25,RB1
5,Jay,Chase Brown CIN,4,RB1
6,Elaf,De'Von Achane MIA,30,RB1
6,Monaf,Ashton Jeanty LVR,14,RB1
6,Larry,Javonte Williams DAL,2,RB1
6,ATL,Jahmyr Gibbs DET,6,RB1
6,Julio,Jonathan Taylor IND,19,RB1
6,Jay,Chase Brown CIN,6,RB1
7,Paco,Bijan Robinson ATL,16,RB1
7,Monaf,Ashton Jeanty LVR,3,RB1
7,Jay,Jordan Mason MIN,11,RB1
7,Doy,Saquon Barkley PHI,4,RB1
7,Larry,Javonte Williams DAL,17,RB1
7,ATL,Jahmyr Gibbs DET,40,RB1
8,Jay,Jordan Mason MIN,0,RB1
8,Doy,Saquon Barkley PHI,35,RB1
8,Monaf,Tony Pollard TEN,4,RB1
8,ATL,Cam Skattebo NYG,9,RB1
8,Paco,Bijan Robinson ATL,4,RB1
8,Chuy,James Cook BUF,41,RB1
9,Elaf,De'Von Achane MIA,9,RB1
9,Greg,Brashard Smith KCC,0,RB1
9,Paco,Bijan Robinson ATL,9,RB1
9,Monaf,Ashton Jeanty LVR,15,RB1
9,Jay,Chase Brown CIN,10,RB1
9,ATL,Jahmyr Gibbs DET,2,RB1
10,Jay,RJ Harvey DEN,0,RB1
10,Julio,Jonathan Taylor IND,54,RB1
10,Monaf,Travis Etienne Jr. JAC,12,RB1
10,Gaybo,Derrick Henry BAL,7,RB1
10,Greg,Quinshon Judkins CLE,8,RB1
10,ATL,Jahmyr Gibbs DET,41,RB1
11,Gaybo,Derrick Henry BAL,17,RB1
11,Larry,Javonte Williams DAL,9,RB1
11,Greg,Quinshon Judkins CLE,5,RB1
11,Julio,Kyren Williams LAR,15,RB1
11,Doy,Saquon Barkley PHI,8,RB1
11,ATL,Jahmyr Gibbs DET,13,RB1
12,Monaf,Ashton Jeanty LVR,11,RB1
12,Doy,Saquon Barkley PHI,7,RB1
12,Elaf,Woody Marks HOU,7,RB1
12,Gaybo,Derrick Henry BAL,20,RB1
12,ATL,Jahmyr Gibbs DET,53,RB1
12,Chuy,TreVeyon Henderson NEP,7,RB1
13,Elaf,De'Von Achane MIA,21,RB1
13,Paco,Bijan Robinson ATL,25,RB1
13,Julio,Jonathan Taylor IND,13,RB1
13,ATL,Jahmyr Gibbs DET,7,RB1
13,Larry,Breece Hall NYJ,12,RB1
13,Gaybo,Derrick Henry BAL,18,RB1
14,Larry,Javonte Williams DAL,12,RB1
14,Elaf,De'Von Achane MIA,17,RB1
14,Paco,Bijan Robinson ATL,8,RB1
14,Julio,Jonathan Taylor IND,13,RB1
14,ATL,Jahmyr Gibbs DET,37,RB1
14,Doy,Saquon Barkley PHI,23,RB1
1,Paco,Tyrone Tracy Jr. NYG,3,RB2
1,Julio,Kyren Williams LAR,12,RB2
1,Kenny,Chuba Hubbard CAR,16,RB2
1,Doy,Kenneth Walker III SEA,2,RB2
1,Chuy,James Cook BUF,15,RB2
1,Jay,RJ Harvey DEN,7,RB2
2,Kenny,Chuba Hubbard CAR,12,RB2
2,Monaf,Ashton Jeanty LVR,4,RB2
2,Chuy,James Cook BUF,29,RB2
2,Doy,Kenneth Walker III SEA,18,RB2
2,Jay,RJ Harvey DEN,1,RB2
2,Elaf,Isiah Pacheco KCC,2,RB2
3,Elaf,Isiah Pacheco KCC,4,RB2
3,Kenny,Chuba Hubbard CAR,7,RB2
3,ATL,Rhamondre Stevenson NEP,4,RB2
3,Julio,Kyren Williams LAR,17,RB2
3,Larry,Breece Hall NYJ,5,RB2
3,Doy,Kenneth Walker III SEA,16,RB2
4,Doy,Kenneth Walker III SEA,10,RB2
4,Larry,Breece Hall NYJ,11,RB2
4,ATL,Cam Skattebo NYG,11,RB2
4,Monaf,Omarion Hampton LAC,26,RB2
4,Kenny,David Montgomery DET,1,RB2
4,Paco,Chris Rodriguez Jr. WAS,5,RB2
5,Paco,Rico Dowdle CAR,28,RB2
5,Doy,Kenneth Walker III SEA,8,RB2
5,Kenny,David Montgomery DET,18,RB2
5,Gaybo,Jacory Croskey-Merritt WAS,27,RB2
5,Monaf,Ashton Jeanty LVR,6,RB2
5,Greg,Ollie Gordon II MIA,0,RB2
6,Kenny,David Montgomery DET,5,RB2
6,Paco,Rico Dowdle CAR,32,RB2
6,Gaybo,Jacory Croskey-Merritt WAS,6,RB2
6,Doy,Kenneth Walker III SEA,3,RB2
6,Greg,Jaylen Warren PIT,6,RB2
6,Chuy,James Cook BUF,8,RB2
7,Chuy,D'Andre Swift CHI,20,RB2
7,Kenny,David Montgomery DET,3,RB2
7,Julio,Kyren Williams LAR,6,RB2
7,Gaybo,Nick Chubb HOU,1,RB2
7,Elaf,Isiah Pacheco KCC,11,RB2
7,Greg,Jaylen Warren PIT,15,RB2
8,Elaf,Isiah Pacheco KCC,5,RB2
8,Kenny,Chuba Hubbard CAR,9,RB2
8,Greg,Jaylen Warren PIT,7,RB2
8,Larry,Breece Hall NYJ,34,RB2
8,Gaybo,Jacory Croskey-Merritt WAS,2,RB2
8,Julio,J.K. Dobbins DEN,12,RB2
9,Julio,Kyren Williams LAR,17,RB2
9,Gaybo,Jacory Croskey-Merritt WAS,3,RB2
9,Larry,Kyle Monangai CHI,19,RB2
9,Chuy,Josh Jacobs GBP,12,RB2
9,Doy,Alvin Kamara NOS,1,RB2
9,Kenny,David Montgomery DET,11,RB2
10,Kenny,David Montgomery DET,10,RB2
10,Doy,Doy Dahmer NAPA,0,RB2
10,Elaf,Kimani Vidal LAC,16,RB2
10,Chuy,Josh Jacobs GBP,16,RB2
10,Larry,Breece Hall NYJ,22,RB2
10,Paco,Rico Dowdle CAR,12,RB2
11,Elaf,Kimani Vidal LAC,1,RB2
11,Chuy,James Cook BUF,18,RB2
11,Paco,Rico Dowdle CAR,9,RB2
11,Kenny,David Montgomery DET,3,RB2
11,Monaf,Travis Etienne Jr. JAC,22,RB2
11,Jay,Chase Brown CIN,13,RB2
12,Jay,Jordan Mason MIN,4,RB2
12,Larry,Breece Hall NYJ,11,RB2
12,Paco,Rico Dowdle CAR,6,RB2
12,Kenny,Bucky Irving TBB,0,RB2
12,Julio,Kyren Williams LAR,4,RB2
12,Greg,Jaylen Warren PIT,12,RB2
13,Greg,Jaylen Warren PIT,9,RB2
13,Doy,Blake Corum LAR,14,RB2
13,Monaf,Tony Pollard TEN,6,RB2
13,Chuy,Josh Jacobs GBP,8,RB2
13,Kenny,Bucky Irving TBB,15,RB2
13,Jay,RJ Harvey DEN,17,RB2
14,Jay,RJ Harvey DEN,15,RB2
14,Chuy,Josh Jacobs GBP,14,RB2
14,Kenny,Aaron Jones Sr. MIN,7,RB2
14,Gaybo,Tyler Allgeier ATL,6,RB2
14,Monaf,Omarion Hampton LAC,13,RB2
14,Greg,Jaylen Warren PIT,14,RB2
1,Elaf,Isiah Pacheco KCC,2,RB2
1,ATL,Rhamondre Stevenson NEP,2,RB2
1,Gaybo,Nick Chubb HOU,6,RB2
1,Larry,Breece Hall NYJ,13,RB2
1,Greg,Jaylen Warren PIT,11,RB2
1,Monaf,Omarion Hampton LAC,5,RB2
2,Larry,Breece Hall NYJ,2,RB2
2,Julio,Kyren Williams LAR,7,RB2
2,ATL,Rhamondre Stevenson NEP,16,RB2
2,Paco,Tyrone Tracy Jr. NYG,4,RB2
2,Gaybo,Jacory Croskey-Merritt WAS,1,RB2
2,Greg,Jaylen Warren PIT,12,RB2
3,Chuy,James Cook BUF,17,RB2
3,Paco,Tyrone Tracy Jr. NYG,2,RB2
3,Monaf,Tony Pollard TEN,11,RB2
3,Gaybo,Jacory Croskey-Merritt WAS,8,RB2
3,Jay,Jordan Mason MIN,23,RB2
3,Greg,Jaylen Warren PIT,7,RB2
4,Chuy,Josh Jacobs GBP,28,RB2
4,Julio,Kyren Williams LAR,8,RB2
4,Elaf,Isiah Pacheco KCC,10,RB2
4,Gaybo,Nick Chubb HOU,5,RB2
4,Greg,Jaylen Warren PIT,0,RB2
4,Jay,Jordan Mason MIN,6,RB2
5,Julio,Kyren Williams LAR,25,RB2
5,Elaf,Woody Marks HOU,2,RB2
5,Chuy,TreVeyon Henderson NEP,2,RB2
5,ATL,Cam Skattebo NYG,9,RB2
5,Larry,Breece Hall NYJ,15,RB2
5,Jay,Jordan Mason MIN,11,RB2
6,Elaf,Zach Charbonnet SEA,3,RB2
6,Monaf,Travis Etienne Jr. JAC,4,RB2
6,Larry,Breece Hall NYJ,5,RB2
6,ATL,Cam Skattebo NYG,28,RB2
6,Julio,Kyren Williams LAR,14,RB2
6,Jay,RJ Harvey DEN,2,RB2
7,Paco,Rico Dowdle CAR,8,RB2
7,Monaf,Travis Etienne Jr. JAC,5,RB2
7,Jay,Chase Brown CIN,10,RB2
7,Doy,Kenneth Walker III SEA,6,RB2
7,Larry,Breece Hall NYJ,4,RB2
7,ATL,Cam Skattebo NYG,16,RB2
8,Jay,Chase Brown CIN,23,RB2
8,Doy,Alvin Kamara NOS,4,RB2
8,Monaf,Dylan Sampson CLE,2,RB2
8,ATL,Rhamondre Stevenson NEP,4,RB2
8,Paco,Rico Dowdle CAR,5,RB2
8,Chuy,Josh Jacobs GBP,10,RB2
9,Elaf,Kimani Vidal LAC,3,RB2
9,Greg,Jaylen Warren PIT,15,RB2
9,Paco,Tyrone Tracy Jr. NYG,2,RB2
9,Monaf,Travis Etienne Jr. JAC,11,RB2
9,Jay,RJ Harvey DEN,13,RB2
9,ATL,Kaleb Johnson PIT,0,RB2
10,Jay,Jordan Mason MIN,2,RB2
10,Julio,Kyren Williams LAR,22,RB2
10,Monaf,Ashton Jeanty LVR,12,RB2
10,Gaybo,Jacory Croskey-Merritt WAS,3,RB2
10,Greg,Jaylen Warren PIT,9,RB2
10,ATL,Emari Demercado ARI,10,RB2
11,Gaybo,Tyler Allgeier ATL,7,RB2
11,Larry,Breece Hall NYJ,5,RB2
11,Greg,Jaylen Warren PIT,6,RB2
11,Julio,Kareem Hunt KCC,11,RB2
11,Doy,Kenneth Walker III SEA,15,RB2
11,ATL,Emari Demercado ARI,1,RB2
12,Monaf,Travis Etienne Jr. JAC,19,RB2
12,Doy,Kenneth Walker III SEA,10,RB2
12,Elaf,Zach Charbonnet SEA,9,RB2
12,Gaybo,Tyler Allgeier ATL,4,RB2
12,ATL,Rhamondre Stevenson NEP,0,RB2
12,Chuy,James Cook BUF,22,RB2
13,Elaf,Woody Marks HOU,6,RB2
13,Paco,Rico Dowdle CAR,7,RB2
13,Julio,Kyren Williams LAR,14,RB2
13,ATL,Ashton Jeanty LVR,6,RB2
13,Larry,Javonte Williams DAL,13,RB2
13,Gaybo,Tyler Allgeier ATL,11,RB2
14,Larry,David Montgomery DET,16,RB2
14,Elaf,Zach Charbonnet SEA,6,RB2
14,Paco,Chris Rodriguez Jr. WAS,5,RB2
14,Julio,Kyren Williams LAR,15,RB2
14,ATL,Ashton Jeanty LVR,3,RB2
14,Doy,Kenneth Walker III SEA,2,RB2
1,Paco,Puka Nacua LAR,13,WR1
1,Julio,A.J. Brown PHI,0,WR1
1,Kenny,Malik Nabers NYG,7,WR1
1,Doy,Marvin Harrison Jr. ARI,13,WR1
1,Chuy,Davante Adams LAR,5,WR1
